variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
210,16,6,4,0.0001,0,0.5,0.2,30,1,1691.24,1729.24,37.99,0.84,465,3035.89
211,24,6,4,0.0001,0,0.5,0.2,30,1,1721.00,1758.84,37.84,0.83,462,2835.09
212,8,10,4,0.0001,0,0.5,0.2,30,1,1687.05,1724.96,37.91,0.87,467,3301.11
213,10,10,4,0.0001,0,0.5,0.2,30,1,1586.98,1624.61,37.64,0.86,459,2849.87
214,16,10,4,0.0001,0,0.5,0.2,30,1,1617.54,1655.46,37.93,0.81,461,2718.15
215,24,10,4,0.0001,0,0.5,0.2,30,1,1577.09,1614.95,37.87,0.82,466,2900.06
216,8,3,1,5e-05,0.5,0.5,0.2,30,1,2388.76,2443.30,54.53,0.95,682,4231.93
217,10,3,1,5e-05,0.5,0.5,0.2,30,1,2498.55,2553.07,54.52,0.86,678,4041.95
218,16,3,1,5e-05,0.5,0.5,0.2,30,1,2391.66,2446.29,54.63,0.80,681,3610.95
219,24,3,1,5e-05,0.5,0.5,0.2,30,1,2432.37,2486.96,54.59,0.81,683,3853.61
220,8,6,1,5e-05,0.5,0.5,0.2,30,1,2574.13,2634.83,60.71,0.95,757,4493.96
221,10,6,1,5e-05,0.5,0.5,0.2,30,1,2574.46,2635.43,60.97,0.92,762,4520.02
222,16,6,1,5e-05,0.5,0.5,0.2,30,1,2520.29,2581.87,61.58,0.87,770,4459.35
223,24,6,1,5e-05,0.5,0.5,0.2,30,1,2614.92,2676.15,61.24,0.87,765,4514.01
224,8,10,1,5e-05,0.5,0.5,0.2,30,1,2628.34,2689.22,60.88,1.00,763,4627.21
225,10,10,1,5e-05,0.5,0.5,0.2,30,1,2622.86,2684.52,61.66,0.91,768,4520.15
226,16,10,1,5e-05,0.5,0.5,0.2,30,1,2677.64,2739.56,61.92,0.87,772,4581.78
227,24,10,1,5e-05,0.5,0.5,0.2,30,1,2693.33,2755.03,61.70,0.86,773,4465.06
228,8,3,2,5e-05,0.5,0.5,0.2,30,1,2293.48,2347.40,53.92,0.87,671,3092.97
229,10,3,2,5e-05,0.5,0.5,0.2,30,1,2354.56,2408.57,54.01,0.82,677,3507.43
230,16,3,2,5e-05,0.5,0.5,0.2,30,1,2380.69,2434.76,54.07,0.76,673,2970.12
231,24,3,2,5e-05,0.5,0.5,0.2,30,1,2334.91,2389.02,54.10,0.75,676,2883.51
232,8,6,2,5e-05,0.5,0.5,0.2,30,1,2522.51,2579.62,57.11,0.95,715,4208.40
233,10,6,2,5e-05,0.5,0.5,0.2,30,1,2599.02,2656.75,57.73,0.92,722,4248.61
234,16,6,2,5e-05,0.5,0.5,0.2,30,1,2561.48,2619.41,57.93,0.87,719,4245.10
235,24,6,2,5e-05,0.5,0.5,0.2,30,1,2570.03,2627.69,57.66,0.91,716,4379.41
236,8,10,2,5e-05,0.5,0.5,0.2,30,1,2517.29,2574.54,57.25,0.97,713,4365.40
237,10,10,2,5e-05,0.5,0.5,0.2,30,1,2541.73,2599.27,57.55,0.85,720,4022.18
238,16,10,2,5e-05,0.5,0.5,0.2,30,1,2583.64,2641.26,57.63,0.89,721,4456.09
239,24,10,2,5e-05,0.5,0.5,0.2,30,1,2517.06,2574.68,57.62,0.86,718,4221.55
240,8,3,4,5e-05,0.5,0.5,0.2,30,1,2203.14,2254.78,51.64,0.85,647,3503.23
241,10,3,4,5e-05,0.5,0.5,0.2,30,1,2213.06,2264.84,51.79,0.78,650,3355.31
242,16,3,4,5e-05,0.5,0.5,0.2,30,1,2310.73,2362.86,52.13,0.80,652,3183.74
243,24,3,4,5e-05,0.5,0.5,0.2,30,1,2281.27,2333.02,51.75,0.74,652,3201.30
244,8,6,4,5e-05,0.5,0.5,0.2,30,1,2274.41,2327.46,53.06,0.88,664,3568.16
245,10,6,4,5e-05,0.5,0.5,0.2,30,1,2364.78,2418.04,53.27,0.82,668,3672.65
246,16,6,4,5e-05,0.5,0.5,0.2,30,1,2345.96,2399.60,53.64,0.83,672,4017.44
247,24,6,4,5e-05,0.5,0.5,0.2,30,1,2354.30,2407.56,53.27,0.76,668,3399.32
248,8,10,4,5e-05,0.5,0.5,0.2,30,1,2338.32,2391.24,52.91,0.93,664,3911.08
249,10,10,4,5e-05,0.5,0.5,0.2,30,1,2357.26,2411.07,53.81,0.80,670,2991.97
250,16,10,4,5e-05,0.5,0.5,0.2,30,1,2317.57,2370.96,53.39,0.77,668,3540.73
251,24,10,4,5e-05,0.5,0.5,0.2,30,1,2387.52,2441.26,53.73,0.81,670,3678.90
252,8,3,1,0.0001,0.5,0.5,0.2,30,1,2147.51,2186.15,38.64,1.10,489,4366.79
253,10,3,1,0.0001,0.5,0.5,0.2,30,1,2110.85,2149.76,38.91,0.99,491,4149.57
